         130222 function calls (122138 primitive calls) in 0.077 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33    0.000    0.000    0.000    0.000 array_analysis.py:232(_get_or_add_ind)
       11    0.000    0.000    0.000    0.000 array_analysis.py:243(_insert)
       33    0.000    0.000    0.000    0.000 array_analysis.py:249(<genexpr>)
       11    0.000    0.000    0.000    0.000 array_analysis.py:306(insert_equiv)
        8    0.000    0.000    0.000    0.000 array_analysis.py:346(__init__)
    29/22    0.000    0.000    0.000    0.000 array_analysis.py:397(_get_names)
       14    0.000    0.000    0.000    0.000 array_analysis.py:425(<genexpr>)
       11    0.000    0.000    0.000    0.000 array_analysis.py:482(_insert)
       11    0.000    0.000    0.001    0.000 array_analysis.py:510(insert_equiv)
       11    0.000    0.000    0.000    0.000 array_analysis.py:516(<listcomp>)
       11    0.000    0.000    0.000    0.000 array_analysis.py:517(<listcomp>)
       11    0.000    0.000    0.000    0.000 array_analysis.py:520(<listcomp>)
       11    0.000    0.000    0.000    0.000 array_analysis.py:521(<listcomp>)
       33    0.000    0.000    0.000    0.000 array_analysis.py:524(<genexpr>)
       11    0.000    0.000    0.000    0.000 array_analysis.py:561(<listcomp>)
       33    0.000    0.000    0.000    0.000 array_analysis.py:641(define)
        8    0.000    0.000    0.000    0.000 array_analysis.py:720(__init__)
        6    0.000    0.000    0.000    0.000 array_analysis.py:782(clone)
       11    0.000    0.000    0.000    0.000 array_analysis.py:803(_get_or_set_rel)
       33    0.000    0.000    0.000    0.000 array_analysis.py:903(define)
    18/15    0.000    0.000    0.000    0.000 array_analysis.py:935(_insert)
        6    0.000    0.000    0.000    0.000 array_analysis.py:957(get_or_set)
        1    0.000    0.000    0.000    0.000 array_exprs.py:25(__init__)
        4    0.000    0.000    0.000    0.000 array_exprs.py:32(match)
       12    0.000    0.000    0.000    0.000 base.py:104(<lambda>)
        2    0.000    0.000    0.000    0.000 base.py:1066(add_dynamic_addr)
      204    0.000    0.000    0.001    0.000 base.py:107(_match_arglist)
        5    0.000    0.000    0.000    0.000 base.py:1117(active_code_library)
        2    0.000    0.000    0.000    0.000 base.py:1123(push_code_library)
        5    0.000    0.000    0.000    0.000 base.py:1133(add_linking_libs)
        5    0.000    0.000    0.000    0.000 base.py:1148(__init__)
        5    0.000    0.000    0.003    0.001 base.py:1154(__call__)
        5    0.000    0.000    0.000    0.000 base.py:1159(__getattr__)
        5    0.000    0.000    0.000    0.000 base.py:1165(_has_loc)
        5    0.000    0.000    0.000    0.000 base.py:1174(__init__)
        5    0.000    0.000    0.000    0.000 base.py:1177(__call__)
        5    0.000    0.000    0.003    0.001 base.py:1183(wrapper)
      218    0.000    0.000    0.001    0.000 base.py:127(_match)
        1    0.000    0.000    0.000    0.000 base.py:142(append)
        1    0.000    0.000    0.000    0.000 base.py:266(refresh)
        2    0.000    0.000    0.000    0.000 base.py:293(mangler)
        3    0.000    0.000    0.000    0.000 base.py:299(get_env_name)
        2    0.000    0.000    0.000    0.000 base.py:307(declare_env_global)
       13    0.000    0.000    0.000    0.000 base.py:328(get_arg_packer)
        1    0.000    0.000    0.000    0.000 base.py:338(nrt)
        2    0.000    0.000    0.000    0.000 base.py:343(subtarget)
        7    0.000    0.000    0.000    0.000 base.py:354(install_registry)
        7    0.000    0.000    0.000    0.000 base.py:370(insert_func_defn)
        7    0.000    0.000    0.000    0.000 base.py:374(_insert_getattr_defn)
        7    0.000    0.000    0.000    0.000 base.py:378(_insert_setattr_defn)
        7    0.000    0.000    0.000    0.000 base.py:382(_insert_cast_defn)
        7    0.000    0.000    0.000    0.000 base.py:386(_insert_get_constant_defn)
        1    0.000    0.000    0.000    0.000 base.py:390(insert_user_function)
        1    0.000    0.000    0.000    0.000 base.py:41(__init__)
        3    0.000    0.000    0.000    0.000 base.py:421(declare_function)
        5    0.000    0.000    0.000    0.000 base.py:437(insert_const_string)
        7    0.000    0.000    0.000    0.000 base.py:457(insert_unique_const)
       24    0.000    0.000    0.002    0.000 base.py:46(find)
        4    0.000    0.000    0.000    0.000 base.py:469(get_argument_type)
       37    0.000    0.000    0.000    0.000 base.py:485(get_value_type)
    15/13    0.000    0.000    0.001    0.000 base.py:506(get_constant_generic)
        7    0.000    0.000    0.000    0.000 base.py:516(get_constant)
       10    0.000    0.000    0.002    0.000 base.py:53(_find)
        5    0.000    0.000    0.001    0.000 base.py:532(get_function)
       10    0.000    0.000    0.001    0.000 base.py:60(_select_compatible)
        4    0.000    0.000    0.000    0.000 base.py:657(get_returned_value)
        1    0.000    0.000    0.000    0.000 base.py:663(get_return_value)
        1    0.000    0.000    0.000    0.000 base.py:680(pair_first)
        1    0.000    0.000    0.000    0.000 base.py:687(pair_second)
    15/13    0.000    0.000    0.001    0.000 base.py:694(cast)
       10    0.000    0.000    0.000    0.000 base.py:70(_best_signature)
        7    0.000    0.000    0.000    0.000 base.py:748(get_c_value)
        4    0.000    0.000    0.000    0.000 base.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 base.py:798(get_struct_type)
        1    0.000    0.000    0.000    0.000 base.py:802(<listcomp>)
        2    0.000    0.000    0.000    0.000 base.py:805(get_dummy_value)
        2    0.000    0.000    0.000    0.000 base.py:808(get_dummy_type)
       10    0.000    0.000    0.000    0.000 base.py:87(_sort_signatures)
        3    0.000    0.000    0.000    0.000 base.py:948(get_python_api)
